trip_id,amount,payment_mode,payment_status
1,15.86,cash,success
2,13.65,cash,failed
3,18.95,card,success
4,55.56,card,success
5,23.1,cash,success
6,24.94,card,success
7,17.15,cash,success
8,34.0,cash,success
9,51.66,card,success
10,18.06,card,success
11,42.42,card,success
12,21.42,card,success
13,27.65,card,success
14,10.15,wallet,success
15,0.0,card,failed
16,22.75,card,success
17,41.58,card,success
18,41.55,card,success
19,63.4,card,success
20,18.04,card,success
21,16.32,card,success
22,11.88,cash,success
23,13.86,card,success
24,32.6,cash,success
25,16.5,cash,success
26,18.06,wallet,success
27,54.69,card,success
28,12.95,cash,success
29,16.32,card,failed
30,23.95,cash,success
31,20.65,cash,success
32,28.95,cash,success
33,16.45,card,failed
34,21.42,wallet,success
35,29.31,card,success
36,11.8,card,success
37,63.07,cash,success
38,29.57,card,success
39,32.8,wallet,success
40,85.75,cash,success
41,49.14,cash,success
42,16.4,card,success
43,16.45,cash,success
44,59.05,card,success
45,15.31,card,failed
46,32.34,card,success
47,27.8,card,success
48,15.23,card,success
49,12.2,card,success
50,18.0,card,success
51,22.05,cash,success
52,99.78,card,success
53,64.29,card,success
54,33.18,card,success
55,36.54,cash,success
56,23.94,card,failed
57,32.34,card,success
58,21.44,card,success
59,29.82,card,success
60,83.65,card,success
61,20.65,cash,success
62,12.5,card,success
63,31.15,cash,success
64,13.86,card,success
65,34.02,cash,success
66,51.59,wallet,success
67,76.0,card,success
68,35.35,cash,success
69,26.99,card,success
70,39.9,card,success
71,46.81,wallet,success
72,44.8,card,success
73,29.75,wallet,success
74,18.92,cash,failed
75,-10.1,cash,success
76,10.1,card,success
77,20.4,wallet,success
78,15.75,card,success
79,14.65,cash,success
80,36.55,cash,success
81,29.35,cash,success
82,60.5,card,success
83,24.78,card,success
84,35.7,wallet,success
85,31.94,card,success
86,19.74,cash,success
87,30.19,card,success
88,38.94,card,success
89,42.42,cash,success
90,24.94,card,success
91,14.0,cash,success
92,13.13,cash,success
93,21.42,card,success
94,23.55,card,success
95,12.5,card,success
96,11.1,cash,success
97,17.95,card,success
98,25.55,cash,success
99,14.64,cash,success
100,71.37,card,success
101,39.59,card,success
102,37.38,wallet,success
103,14.6,wallet,success
104,16.0,cash,success
105,15.7,cash,success
106,32.34,cash,success
107,13.55,card,success
108,17.16,card,success
109,35.35,card,success
110,12.25,card,success
111,13.9,card,success
112,23.1,card,success
113,92.74,card,success
114,17.68,cash,success
115,17.88,card,success
