trip_id,rider_rating_for_driver,driver_rating_for_rider
1,4.0,3.9
3,3.1,4.3
4,4.1,4.3
5,3.9,4.1
6,4.6,4.7
7,3.2,4.9
9,3.0,4.0
10,4.6,4.9
11,3.4,4.9
14,3.1,3.8
15,3.4,4.0
16,4.8,4.7
17,3.3,4.7
18,3.6,4.9
19,4.2,4.7
20,3.4,4.1
21,4.3,4.4
22,4.4,3.9
23,3.5,4.2
24,3.2,4.6
25,3.8,4.0
26,4.4,5.0
27,4.6,4.0
28,3.1,4.0
29,4.1,5.0
30,3.5,4.6
31,3.8,3.8
32,4.1,4.6
33,4.5,4.0
37,3.1,4.7
38,3.3,3.7
39,4.2,4.1
40,3.9,4.3
41,3.4,4.9
42,3.1,3.9
43,4.8,5.0
45,3.7,4.0
46,3.8,4.4
47,3.1,3.8
48,4.5,5.0
49,5.0,4.2
50,5.0,3.7
52,3.6,4.8
55,4.9,4.1
57,3.8,4.5
58,3.8,3.6
59,4.7,4.8
60,4.6,3.8
61,3.9,4.1
62,3.9,3.6
64,4.9,4.9
65,3.8,3.7
66,4.7,4.4
67,4.5,4.6
69,3.2,4.0
71,3.3,4.5
72,3.1,4.5
73,3.1,4.4
75,4.2,4.1
76,3.2,3.7
77,3.3,4.4
78,3.5,3.6
79,4.1,3.8
80,3.5,4.8
82,3.8,3.6
83,3.7,3.9
84,3.8,4.2
85,4.9,4.5
86,4.9,4.9
87,3.1,4.8
88,3.2,4.3
90,3.1,4.3
91,3.8,4.6
92,4.7,4.3
93,4.6,4.6
94,3.7,4.7
95,4.5,4.0
96,5.0,3.8
97,3.4,4.0
98,4.9,4.1
99,4.5,4.9
100,3.2,3.6
101,4.6,4.8
102,3.2,4.3
103,3.1,3.7
104,4.5,3.8
106,4.8,3.9
107,3.8,4.1
108,3.0,5.0
109,4.2,3.6
110,3.5,3.5
111,4.1,4.1
112,3.6,3.5
115,4.2,3.6
118,3.5,4.1
120,3.3,4.4
123,4.5,4.2
124,4.1,4.0
125,3.6,4.5
126,4.3,4.3
129,3.6,3.7
130,3.7,4.1
131,3.8,4.9
132,3.5,4.3
133,3.9,4.0
134,4.6,3.9
136,4.9,3.9
137,3.4,4.7
138,4.9,4.4
139,3.6,3.8
142,3.9,3.8
143,3.2,3.7
144,4.2,4.7
145,4.0,4.7
146,4.4,3.9
147,4.2,4.0
148,5.0,4.7
149,4.5,4.8
150,4.9,3.9
152,4.1,3.9
153,3.6,4.1
154,4.1,4.7
156,3.9,3.6
157,3.9,4.8
158,3.8,4.7
159,4.6,4.1
160,4.5,3.9
161,4.3,3.9
162,4.3,4.6
163,3.7,4.4
164,3.9,4.2
165,3.3,4.6
167,4.2,4.0
168,3.3,4.6
169,4.8,4.4
170,3.8,3.6
171,3.1,4.9
172,3.0,4.7
173,4.4,3.7
174,4.2,3.6
175,4.5,3.9
176,4.5,3.6
177,3.0,4.8
178,3.3,4.6
180,3.7,4.9
181,3.1,3.9
182,3.4,3.6
185,4.2,3.7
186,3.9,3.7
188,4.7,3.5
189,3.4,3.7
190,4.1,3.9
191,4.7,4.4
194,3.1,5.0
195,4.7,4.8
196,3.7,3.9
197,4.7,4.9
200,4.4,4.9
201,4.3,4.4
202,3.1,4.6
203,4.9,3.7
205,3.9,4.5
206,3.2,4.8
207,4.5,4.1
208,4.7,4.1
209,4.9,3.5
210,4.0,4.7
211,3.8,4.4
212,4.2,4.7
213,3.6,4.0
214,3.8,3.8
215,4.1,4.7
216,4.6,4.2
217,4.7,4.2
218,3.3,4.9
